Rank,Country/Territory,Name,Date,Points Accumulated
84,ESP,Paula Lopez,2024-09-03,"6,600"
85,IND,Nikki Rapria,2024-09-03,"6,470"
86,TPE,Sung Yu-Hsuan,2024-09-03,"6,260"
86,TPE,Nicole Gonzales Chan,2024-09-03,"6,260"
88,IND,Dhanyaa Nandakumar,2024-09-03,"6,150"
89,TPE,Hu Ling Fang,2024-09-03,"6,110"
90,INA,Lanny Tria Mayasari,2024-09-03,"6,060"
91,MAS,Go Pei Kee,2024-09-03,"5,710"
92,GER,Julia Meyer,2024-09-03,"5,670"
93,MAS,Lee Zhi Qing,2024-09-03,"5,610"
94,TPE,Wang Szu-Min,2024-09-03,"5,330"
95,TPE,Hsu Ya Ching,2024-09-03,"5,250"
96,IND,Apoorva Gahlawat,2024-09-03,"5,070"
96,IND,Gayathri Rani Jaiswal,2024-09-03,"5,070"
96,IND,Arul Bala Radhakrishnan,2024-09-03,"5,070"
96,IND,Ishu Malik,2024-09-03,"5,070"
100,POL,Paulina Hankiewicz,2024-09-03,"5,010"
1,JPN,Rin Iwanaga,2024-09-10,"77,550"
2,KOR,Baek Ha Na,2024-09-10,"66,240"
3,CHN,Liu Sheng Shu,2024-09-10,"63,460"
4,CHN,Li Yi Jing,2024-09-10,"58,650"
5,IND,Tanisha Crasto,2024-09-10,"56,080"
6,IND,Treesa Jolly,2024-09-10,"53,770"
7,JPN,Nami Matsuyama,2024-09-10,"52,820"
8,MAS,Tan Pearly,2024-09-10,"51,150"
9,INA,Febriana Dwipuji Kusuma,2024-09-10,"49,170"
10,TPE,Chang Ching Hui,2024-09-10,"47,960"
11,USA,Francesca Corbett,2024-09-10,"47,900"
12,CHN,Zhang Shu Xian,2024-09-10,"47,530"
13,AUS,Setyana Mapasa,2024-09-10,"44,210"
14,JPN,Mayu Matsumoto,2024-09-10,"43,610"
15,CHN,Chen Qing Chen,2024-09-10,"43,600"
16,KOR,Kim So Yeong,2024-09-10,"42,830"
17,HKG,Yeung Nga Ting,2024-09-10,"42,540"
18,CHN,Li Wen Mei,2024-09-10,"41,290"
19,TPE,Sung Shuo Yun,2024-09-10,"40,770"
20,KOR,Lee Yu Lim,2024-09-10,"37,740"
21,IND,Rutaparna Panda,2024-09-10,"37,720"
22,THA,Laksika Kanlaha,2024-09-10,"36,820"
23,BUL,Gabriela Stoeva,2024-09-10,"36,020"
24,INA,Jesita Putri Miantoro,2024-09-10,"35,670"
25,FRA,Margot Lambert,2024-09-10,"34,690"
26,TPE,Hsu Yin-Hui,2024-09-10,"34,380"
27,TPE,Hsu Ya Ching,2024-09-10,"34,230"
28,USA,Annie Xu,2024-09-10,"31,600"
29,UKR,Polina Buhrova,2024-09-10,"31,540"
30,JPN,Rui Hirokami,2024-09-10,"31,030"
31,DEN,Maiken Fruergaard,2024-09-10,"30,700"
32,CHN,Keng Shu Liang,2024-09-10,"29,690"
33,TPE,Lee Chia Hsin,2024-09-10,"28,370"
34,JPN,Rena Miyaura,2024-09-10,"27,590"
35,KOR,Jeong Na Eun,2024-09-10,"27,300"
36,INA,Apriyani Rahayu,2024-09-10,"27,090"
37,NED,Debora Jille,2024-09-10,"26,740"
38,INA,Meilysa Trias Puspitasari,2024-09-10,"25,130"
39,MAS,Vivian Hoo,2024-09-10,"24,550"
40,THA,Benyapa Aimsaard,2024-09-10,"22,820"
41,USA,Paula Lynn Cao Hok,2024-09-10,"22,600"
42,INA,Lanny Tria Mayasari,2024-09-10,"20,020"
43,GER,Linda Efler,2024-09-10,"19,890"
44,TPE,Cheng Yu-Pei,2024-09-10,"17,830"
45,THA,Ornnicha Jongsathapornparn,2024-09-10,"16,640"
46,IND,Simran Singhi,2024-09-10,"16,570"
47,CHN,Wang Ting Ge,2024-09-10,"16,570"
48,TPE,Hsieh Pei Shan,2024-09-10,"16,090"
49,JPN,Yuki Fukushima,2024-09-10,"15,820"
50,TPE,Huang Yu-Hsun,2024-09-10,"15,740"
51,DEN,Julie Finne-Ipsen,2024-09-10,"15,540"
52,JPN,Kokona Ishikawa,2024-09-10,"13,960"
53,DEN,Natasja P. Anthonisen,2024-09-10,"13,540"
54,HKG,Lui Lok Lok,2024-09-10,"13,430"
55,MAS,Go Pei Kee,2024-09-10,"13,410"
56,IND,Priya Konjengbam,2024-09-10,"13,340"
57,CAN,Catherine Choi,2024-09-10,"13,120"
58,TPE,Nicole Gonzales Chan,2024-09-10,"12,470"
59,HKG,Fan Ka Yan,2024-09-10,"11,150"
60,TPE,Lee Chih Chen,2024-09-10,"11,050"
61,CAN,Jackie Dent,2024-09-10,"10,930"
62,TPE,Hu Ling Fang,2024-09-10,"10,660"
63,JPN,Mizuki Otake,2024-09-10,"10,640"
64,CHN,Chen Xiao Fei,2024-09-10,"10,180"
65,MAS,Lai Pei Jing,2024-09-10,"10,020"
66,IND,Ashwini Bhat K.,2024-09-10,"9,660"
67,IND,Palak Arora,2024-09-10,"9,510"
68,SWE,Moa Sjoo,2024-09-10,"9,390"
69,TPE,Teng Chun Hsun,2024-09-10,"9,360"
70,TPE,Chiu Pin-Chian,2024-09-10,"9,290"
71,UGA,Husina Kobugabe,2024-09-10,"9,260"
72,AUS,Kaitlyn Ea,2024-09-10,"8,930"
73,INA,Lanny Tria Mayasari,2024-09-10,"8,810"
74,THA,Prinda Pattanawaritthipan,2024-09-10,"8,660"
75,CHN,Bao Li Jing,2024-09-10,"8,530"
76,THA,Phattharin Aiamvareesrisakul,2024-09-10,"8,480"
77,DEN,Amalie Cecilie Kudsk,2024-09-10,"8,270"
78,TPE,Hung En-Tzu,2024-09-10,"8,000"
79,GER,Isabel Lohau,2024-09-10,"7,790"
80,CHN,Jia Yi Fan,2024-09-10,"7,700"
81,SCO,Julie Macpherson,2024-09-10,"7,170"
82,CHN,Huang Ke Xin,2024-09-10,"6,880"
83,GER,Linda Efler,2024-09-10,"6,710"
84,BRA,Jaqueline Lima,2024-09-10,"6,680"
85,ESP,Paula Lopez,2024-09-10,"6,600"
85,TPE,Lin Chih-Chun,2024-09-10,"6,600"
87,IND,Nikki Rapria,2024-09-10,"6,470"
88,MAS,Go Pei Kee,2024-09-10,"6,370"
89,TPE,Nicole Gonzales Chan,2024-09-10,"6,260"
89,TPE,Sung Yu-Hsuan,2024-09-10,"6,260"
91,IND,Dhanyaa Nandakumar,2024-09-10,"6,150"
92,TPE,Hu Ling Fang,2024-09-10,"6,110"
93,GER,Julia Meyer,2024-09-10,"5,670"
94,MAS,Lee Zhi Qing,2024-09-10,"5,610"
95,TPE,Wang Szu-Min,2024-09-10,"5,330"
96,TPE,Hsu Ya Ching,2024-09-10,"5,250"
97,IND,Gayathri Rani Jaiswal,2024-09-10,"5,070"
97,IND,Apoorva Gahlawat,2024-09-10,"5,070"
97,IND,Arul Bala Radhakrishnan,2024-09-10,"5,070"
97,IND,Ishu Malik,2024-09-10,"5,070"
1,JPN,Rin Iwanaga,2024-08-27,"77,550"
2,CHN,Liu Sheng Shu,2024-08-27,"63,460"
3,KOR,Baek Ha Na,2024-08-27,"59,820"
4,IND,Tanisha Crasto,2024-08-27,"56,080"
5,IND,Treesa Jolly,2024-08-27,"53,770"
6,CHN,Li Yi Jing,2024-08-27,"53,610"
7,JPN,Nami Matsuyama,2024-08-27,"50,600"
8,CHN,Zhang Shu Xian,2024-08-27,"47,530"
9,USA,Francesca Corbett,2024-08-27,"46,960"
10,AUS,Setyana Mapasa,2024-08-27,"44,210"
11,JPN,Mayu Matsumoto,2024-08-27,"43,610"
12,CHN,Chen Qing Chen,2024-08-27,"43,600"
13,MAS,Tan Pearly,2024-08-27,"43,350"
14,HKG,Yeung Nga Ting,2024-08-27,"42,540"
15,INA,Febriana Dwipuji Kusuma,2024-08-27,"42,170"
16,TPE,Chang Ching Hui,2024-08-27,"41,890"
17,CHN,Li Wen Mei,2024-08-27,"41,290"
18,KOR,Kim So Yeong,2024-08-27,"40,610"
19,TPE,Sung Shuo Yun,2024-08-27,"39,100"
20,IND,Rutaparna Panda,2024-08-27,"37,170"
21,BUL,Gabriela Stoeva,2024-08-27,"36,020"
22,FRA,Margot Lambert,2024-08-27,"34,690"
23,TPE,Hsu Ya Ching,2024-08-27,"34,230"
24,THA,Laksika Kanlaha,2024-08-27,"31,920"
25,USA,Annie Xu,2024-08-27,"31,600"
26,KOR,Lee Yu Lim,2024-08-27,"31,320"
27,JPN,Rui Hirokami,2024-08-27,"31,030"
28,DEN,Maiken Fruergaard,2024-08-27,"30,700"
29,UKR,Polina Buhrova,2024-08-27,"30,250"
30,CHN,Keng Shu Liang,2024-08-27,"29,690"
31,TPE,Lee Chia Hsin,2024-08-27,"28,370"
32,TPE,Hsu Yin-Hui,2024-08-27,"27,670"
33,JPN,Rena Miyaura,2024-08-27,"27,590"
34,INA,Jesita Putri Miantoro,2024-08-27,"27,250"
35,INA,Apriyani Rahayu,2024-08-27,"27,090"
36,NED,Debora Jille,2024-08-27,"26,740"
37,INA,Meilysa Trias Puspitasari,2024-08-27,"25,130"
38,MAS,Vivian Hoo,2024-08-27,"24,550"
39,USA,Paula Lynn Cao Hok,2024-08-27,"22,600"
40,INA,Lanny Tria Mayasari,2024-08-27,"20,020"
41,GER,Linda Efler,2024-08-27,"19,890"
42,KOR,Jeong Na Eun,2024-08-27,"18,100"
43,THA,Benyapa Aimsaard,2024-08-27,"17,920"
44,IND,Simran Singhi,2024-08-27,"16,570"
45,CHN,Wang Ting Ge,2024-08-27,"16,570"
46,TPE,Cheng Yu-Pei,2024-08-27,"16,160"
47,JPN,Yuki Fukushima,2024-08-27,"15,820"
48,TPE,Huang Yu-Hsun,2024-08-27,"15,740"
49,DEN,Julie Finne-Ipsen,2024-08-27,"15,540"
50,THA,Ornnicha Jongsathapornparn,2024-08-27,"14,420"
51,DEN,Natasja P. Anthonisen,2024-08-27,"13,540"
52,MAS,Go Pei Kee,2024-08-27,"13,410"
53,CAN,Catherine Choi,2024-08-27,"13,120"
54,IND,Priya Konjengbam,2024-08-27,"11,600"
55,CAN,Jackie Dent,2024-08-27,"10,930"
56,TPE,Nicole Gonzales Chan,2024-08-27,"10,800"
57,JPN,Kokona Ishikawa,2024-08-27,"10,360"
58,CHN,Chen Xiao Fei,2024-08-27,"10,180"
59,IND,Ashwini Bhat K.,2024-08-27,"9,660"
60,HKG,Lui Lok Lok,2024-08-27,"9,580"
61,IND,Palak Arora,2024-08-27,"9,510"
62,TPE,Lee Chih Chen,2024-08-27,"9,380"
62,TPE,Hsieh Pei Shan,2024-08-27,"9,380"
64,UGA,Husina Kobugabe,2024-08-27,"9,260"
65,AUS,Kaitlyn Ea,2024-08-27,"8,930"
66,CHN,Bao Li Jing,2024-08-27,"8,530"
67,THA,Phattharin Aiamvareesrisakul,2024-08-27,"8,480"
68,HKG,Fan Ka Yan,2024-08-27,"8,400"
69,DEN,Amalie Cecilie Kudsk,2024-08-27,"8,270"
70,TPE,Hung En-Tzu,2024-08-27,"8,000"
71,MAS,Lai Pei Jing,2024-08-27,"7,800"
72,GER,Isabel Lohau,2024-08-27,"7,790"
73,SWE,Moa Sjoo,2024-08-27,"7,720"
74,CHN,Jia Yi Fan,2024-08-27,"7,700"
75,TPE,Chiu Pin-Chian,2024-08-27,"7,620"
76,SCO,Julie Macpherson,2024-08-27,"7,170"
77,CHN,Huang Ke Xin,2024-08-27,"6,880"
78,GER,Linda Efler,2024-08-27,"6,710"
79,BRA,Jaqueline Lima,2024-08-27,"6,680"
80,ESP,Paula Lopez,2024-08-27,"6,600"
81,THA,Prinda Pattanawaritthipan,2024-08-27,"6,550"
82,IND,Nikki Rapria,2024-08-27,"6,470"
83,IND,Dhanyaa Nandakumar,2024-08-27,"6,150"
84,TPE,Hu Ling Fang,2024-08-27,"6,110"
85,TPE,Hu Ling Fang,2024-08-27,"5,690"
86,GER,Julia Meyer,2024-08-27,"5,670"
87,MAS,Lee Zhi Qing,2024-08-27,"5,610"
88,TPE,Wang Szu-Min,2024-08-27,"5,330"
89,IND,Arul Bala Radhakrishnan,2024-08-27,"5,070"
89,IND,Gayathri Rani Jaiswal,2024-08-27,"5,070"
89,IND,Apoorva Gahlawat,2024-08-27,"5,070"
89,IND,Ishu Malik,2024-08-27,"5,070"
93,RSA,Amy Ackerman,2024-08-27,"5,010"
93,POL,Paulina Hankiewicz,2024-08-27,"5,010"
95,USA,Jennie Gai,2024-08-27,"4,970"
96,TPE,Hung Yi-Ting,2024-08-27,"4,880"
97,HKG,Lui Lok Lok,2024-08-27,"4,700"
98,AUS,Tiffany Ho,2024-08-27,"4,420"
99,CHN,Hua Xiao Bei,2024-08-27,"4,320"
100,TPE,Teng Chun Hsun,2024-08-27,"4,320"
1,IND,Tanisha Crasto,2024-06-11,"56,080"
2,JPN,Rin Iwanaga,2024-06-11,"53,650"
3,CHN,Liu Sheng Shu,2024-06-11,"52,460"
4,CHN,Li Yi Jing,2024-06-11,"50,950"
5,KOR,Baek Ha Na,2024-06-11,"50,470"
6,CHN,Zhang Shu Xian,2024-06-11,"47,530"
7,IND,Treesa Jolly,2024-06-11,"44,880"
8,JPN,Nami Matsuyama,2024-06-11,"44,550"
9,CHN,Chen Qing Chen,2024-06-11,"43,600"
10,CHN,Li Wen Mei,2024-06-11,"41,290"
11,JPN,Mayu Matsumoto,2024-06-11,"40,950"
12,THA,Jongkolphan Kititharakul,2024-06-11,"39,390"
13,AUS,Setyana Mapasa,2024-06-11,"37,790"
14,MAS,Tan Pearly,2024-06-11,"37,300"
15,USA,Francesca Corbett,2024-06-11,"36,860"
16,BUL,Gabriela Stoeva,2024-06-11,"36,020"
17,FRA,Margot Lambert,2024-06-11,"34,690"
18,KOR,Kim So Yeong,2024-06-11,"34,560"
19,TPE,Hsu Ya Ching,2024-06-11,"34,230"
20,TPE,Chang Ching Hui,2024-06-11,"33,720"
21,INA,Febriana Dwipuji Kusuma,2024-06-11,"32,970"
22,IND,Rutaparna Panda,2024-06-11,"32,290"
23,HKG,Yeung Nga Ting,2024-06-11,"31,800"
24,KOR,Lee Yu Lim,2024-06-11,"28,660"
25,DEN,Maiken Fruergaard,2024-06-11,"28,480"
26,TPE,Lee Chia Hsin,2024-06-11,"28,370"
27,JPN,Rena Miyaura,2024-06-11,"27,590"
28,INA,Apriyani Rahayu,2024-06-11,"27,090"
29,NED,Debora Jille,2024-06-11,"26,740"
30,TPE,Sung Shuo Yun,2024-06-11,"26,720"
31,INA,Meilysa Trias Puspitasari,2024-06-11,"25,130"
32,MAS,Vivian Hoo,2024-06-11,"24,550"
33,USA,Annie Xu,2024-06-11,"24,480"
34,USA,Paula Lynn Cao Hok,2024-06-11,"22,600"
35,INA,Jesita Putri Miantoro,2024-06-11,"21,750"
36,CHN,Keng Shu Liang,2024-06-11,"20,800"
37,INA,Lanny Tria Mayasari,2024-06-11,"20,020"
38,GER,Linda Efler,2024-06-11,"19,890"
39,JPN,Rui Hirokami,2024-06-11,"18,210"
40,THA,Benyapa Aimsaard,2024-06-11,"17,920"
41,THA,Laksika Kanlaha,2024-06-11,"16,890"
42,IND,Simran Singhi,2024-06-11,"16,570"
43,UKR,Polina Buhrova,2024-06-11,"16,480"
44,JPN,Yuki Fukushima,2024-06-11,"15,820"
45,TPE,Huang Yu-Hsun,2024-06-11,"15,740"
46,TPE,Hsu Yin-Hui,2024-06-11,"15,100"
47,MAS,Go Pei Kee,2024-06-11,"13,410"
48,CAN,Catherine Choi,2024-06-11,"13,120"
49,TPE,Cheng Yu-Pei,2024-06-11,"12,210"
50,KOR,Jeong Na Eun,2024-06-11,"12,050"
51,IND,Priya Konjengbam,2024-06-11,"10,310"
52,THA,Ornnicha Jongsathapornparn,2024-06-11,"10,100"
53,IND,Ashwini Bhat K.,2024-06-11,"9,660"
54,TPE,Nicole Gonzales Chan,2024-06-11,"9,510"
54,IND,Palak Arora,2024-06-11,"9,510"
56,UGA,Husina Kobugabe,2024-06-11,"9,260"
57,DEN,Julie Finne-Ipsen,2024-06-11,"9,000"
58,THA,Phattharin Aiamvareesrisakul,2024-06-11,"8,480"
59,DEN,Natasja P. Anthonisen,2024-06-11,"8,270"
59,DEN,Amalie Cecilie Kudsk,2024-06-11,"8,270"
61,TPE,Hung En-Tzu,2024-06-11,"8,000"
62,CHN,Wang Ting Ge,2024-06-11,"7,190"
63,SCO,Julie Macpherson,2024-06-11,"7,170"
64,ESP,Paula Lopez,2024-06-11,"6,600"
65,IND,Nikki Rapria,2024-06-11,"6,470"
66,IND,Dhanyaa Nandakumar,2024-06-11,"6,150"
67,TPE,Hu Ling Fang,2024-06-11,"6,110"
68,HKG,Fan Ka Yan,2024-06-11,"5,820"
69,GER,Julia Meyer,2024-06-11,"5,670"
70,CAN,Jackie Dent,2024-06-11,"5,660"
71,IND,Arul Bala Radhakrishnan,2024-06-11,"5,070"
71,IND,Gayathri Rani Jaiswal,2024-06-11,"5,070"
71,IND,Apoorva Gahlawat,2024-06-11,"5,070"
71,IND,Ishu Malik,2024-06-11,"5,070"
75,RSA,Amy Ackerman,2024-06-11,"5,010"
75,POL,Paulina Hankiewicz,2024-06-11,"5,010"
75,BRA,Jaqueline Lima,2024-06-11,"5,010"
78,TPE,Hung Yi-Ting,2024-06-11,"4,880"
79,HKG,Lui Lok Lok,2024-06-11,"4,700"
80,CHN,Chen Xiao Fei,2024-06-11,"4,680"
81,HKG,Lui Lok Lok,2024-06-11,"4,440"
81,THA,Prinda Pattanawaritthipan,2024-06-11,"4,440"
83,AUS,Tiffany Ho,2024-06-11,"4,420"
84,IND,Shrishti Gupta,2024-06-11,"4,250"
84,IND,Sri Sai Sravya Lakkamraju,2024-06-11,"4,250"
1,JPN,Rin Iwanaga,2024-06-04,"53,650"
2,IND,Tanisha Crasto,2024-06-04,"51,280"
3,CHN,Li Yi Jing,2024-06-04,"44,350"
4,CHN,Liu Sheng Shu,2024-06-04,"44,060"
5,CHN,Zhang Shu Xian,2024-06-04,"40,930"
6,IND,Treesa Jolly,2024-06-04,"40,080"
7,JPN,Nami Matsuyama,2024-06-04,"39,750"
8,KOR,Baek Ha Na,2024-06-04,"38,470"
9,CHN,Li Wen Mei,2024-06-04,"38,290"
10,AUS,Setyana Mapasa,2024-06-04,"37,790"
11,THA,Jongkolphan Kititharakul,2024-06-04,"36,390"
12,BUL,Gabriela Stoeva,2024-06-04,"36,020"
13,USA,Francesca Corbett,2024-06-04,"33,860"
14,CHN,Chen Qing Chen,2024-06-04,"33,400"
15,JPN,Mayu Matsumoto,2024-06-04,"32,550"
16,TPE,Hsu Ya Ching,2024-06-04,"31,230"
17,MAS,Tan Pearly,2024-06-04,"30,700"
18,INA,Febriana Dwipuji Kusuma,2024-06-04,"29,970"
19,FRA,Margot Lambert,2024-06-04,"29,890"
20,IND,Rutaparna Panda,2024-06-04,"29,290"
21,TPE,Chang Ching Hui,2024-06-04,"28,920"
22,KOR,Lee Yu Lim,2024-06-04,"28,660"
23,TPE,Lee Chia Hsin,2024-06-04,"28,370"
24,KOR,Kim So Yeong,2024-06-04,"27,960"
25,JPN,Rena Miyaura,2024-06-04,"27,590"
26,HKG,Yeung Nga Ting,2024-06-04,"27,000"
27,NED,Debora Jille,2024-06-04,"26,740"
28,INA,Meilysa Trias Puspitasari,2024-06-04,"25,130"
29,USA,Annie Xu,2024-06-04,"24,480"
30,TPE,Sung Shuo Yun,2024-06-04,"23,720"
31,DEN,Maiken Fruergaard,2024-06-04,"23,680"
32,USA,Paula Lynn Cao Hok,2024-06-04,"22,600"
33,INA,Apriyani Rahayu,2024-06-04,"22,290"
34,MAS,Vivian Hoo,2024-06-04,"21,550"
35,CHN,Keng Shu Liang,2024-06-04,"20,800"
36,INA,Lanny Tria Mayasari,2024-06-04,"20,020"
37,GER,Linda Efler,2024-06-04,"19,890"
38,INA,Jesita Putri Miantoro,2024-06-04,"18,750"
39,JPN,Rui Hirokami,2024-06-04,"18,210"
40,THA,Benyapa Aimsaard,2024-06-04,"17,920"
41,THA,Laksika Kanlaha,2024-06-04,"16,890"
42,IND,Simran Singhi,2024-06-04,"16,570"
43,JPN,Yuki Fukushima,2024-06-04,"15,820"
44,TPE,Huang Yu-Hsun,2024-06-04,"15,740"
45,TPE,Hsu Yin-Hui,2024-06-04,"15,100"
46,UKR,Polina Buhrova,2024-06-04,"13,480"
47,MAS,Go Pei Kee,2024-06-04,"13,410"
48,CAN,Catherine Choi,2024-06-04,"13,120"
49,KOR,Jeong Na Eun,2024-06-04,"12,050"
50,IND,Priya Konjengbam,2024-06-04,"10,310"
51,IND,Ashwini Bhat K.,2024-06-04,"9,660"
52,IND,Palak Arora,2024-06-04,"9,510"
52,TPE,Nicole Gonzales Chan,2024-06-04,"9,510"
54,UGA,Husina Kobugabe,2024-06-04,"9,260"
55,TPE,Cheng Yu-Pei,2024-06-04,"9,210"
56,THA,Phattharin Aiamvareesrisakul,2024-06-04,"8,480"
57,DEN,Amalie Cecilie Kudsk,2024-06-04,"8,270"
57,DEN,Natasja P. Anthonisen,2024-06-04,"8,270"
59,TPE,Hung En-Tzu,2024-06-04,"8,000"
60,CHN,Wang Ting Ge,2024-06-04,"7,190"
61,SCO,Julie Macpherson,2024-06-04,"7,170"
62,THA,Ornnicha Jongsathapornparn,2024-06-04,"7,100"
63,ESP,Paula Lopez,2024-06-04,"6,600"
64,IND,Nikki Rapria,2024-06-04,"6,470"
65,IND,Dhanyaa Nandakumar,2024-06-04,"6,150"
66,TPE,Hu Ling Fang,2024-06-04,"6,110"
67,DEN,Julie Finne-Ipsen,2024-06-04,"6,000"
68,HKG,Fan Ka Yan,2024-06-04,"5,820"
69,GER,Julia Meyer,2024-06-04,"5,670"
70,IND,Ishu Malik,2024-06-04,"5,070"
70,IND,Apoorva Gahlawat,2024-06-04,"5,070"
70,IND,Gayathri Rani Jaiswal,2024-06-04,"5,070"
70,IND,Arul Bala Radhakrishnan,2024-06-04,"5,070"
74,POL,Paulina Hankiewicz,2024-06-04,"5,010"
74,BRA,Jaqueline Lima,2024-06-04,"5,010"
74,RSA,Amy Ackerman,2024-06-04,"5,010"
77,TPE,Hung Yi-Ting,2024-06-04,"4,880"
78,HKG,Lui Lok Lok,2024-06-04,"4,700"
79,CHN,Chen Xiao Fei,2024-06-04,"4,680"
80,HKG,Lui Lok Lok,2024-06-04,"4,440"
80,THA,Prinda Pattanawaritthipan,2024-06-04,"4,440"
82,AUS,Tiffany Ho,2024-06-04,"4,420"
83,IND,Shrishti Gupta,2024-06-04,"4,250"
83,IND,Sri Sai Sravya Lakkamraju,2024-06-04,"4,250"
83,IND,Kavya Gupta,2024-06-04,"4,250"
86,TPE,Wang Szu-Min,2024-06-04,"4,040"
87,UGA,Fadilah Shamika Mohamed Rafi,2024-06-04,"4,000"
88,TPE,Liu Chiao-Yun,2024-06-04,"3,890"
88,AUS,Kaitlyn Ea,2024-06-04,"3,890"
90,INA,Arlya Nabila Thesa Munggaran,2024-06-04,"3,850"
