,Tournament Name,Tournament Date,Tournament Country,Discipline,Number of Sets Played,Retired,Match Duration (min),Team One Nationalities,Team Two Nationalities,Team 1 Name(s),Team 1 Seed,Team 2 Name(s),Team 2 Seed,Points Set 1 Team 1,Points Set 1 Team 2,Points Set 2 Team 1,Points Set 2 Team 2,Points Set 3 Team 1,Points Set 3 Team 2,Total Points Team 1,Total Points Team 2,Sets Won Team 1,Sets Won Team 2,Total Game Points Team 1,Total Game Points Team 2,Most Consecutive Points Team 1,Most Consecutive Points Team 2,Team 1 Head to Head Analysis,Team 2 Head to Head Analysis,Match Winner
33,Yonex_All_England_Open,2018-03-17,England,WS,6,0,64,Chinesetaipei,China,Tai Tzu Ying,1,Tai Tzu Ying,8,21,15,20,22,21,13,62,50,2,1,4,5,6,4,19,9,1
34,Blibli_Indonesia_Open,2018-07-04,Indonesia,MD,6,0,62,Indonesia,China,"Ricky Karandasuwardi, Angga Pratama",0,"Ricky Karandasuwardi, Angga Pratama",0,16,21,21,17,26,24,63,62,2,1,6,3,5,5,2,0,1
35,Yonex_All_England_Open,2018-03-16,England,XD,4,0,45,Denmark,Indonesia,"Mathias Christiansen, Christinna Pedersen",6,"Mathias Christiansen, Christinna Pedersen",4,21,16,21,15,0,0,42,31,2,0,2,0,4,4,1,0,1
36,Blibli_Indonesia_Open,2018-07-07,Indonesia,MD,4,0,24,Indonesia,Indonesia,"Marcus Fernaldi Gideon, Kevin Sanjaya Sukamuljo",1,"Marcus Fernaldi Gideon, Kevin Sanjaya Sukamuljo",0,21,13,21,10,0,0,42,23,2,0,4,0,6,2,6,4,1
37,Blibli_Indonesia_Open,2018-07-08,Indonesia,WS,6,0,54,Chinesetaipei,China,Tai Tzu Ying,1,Tai Tzu Ying,5,21,23,21,15,21,9,63,47,2,1,3,2,6,5,19,9,1
38,Blibli_Indonesia_Open,2018-07-06,Indonesia,MD,6,0,65,Indonesia,Denmark,"Marcus Fernaldi Gideon, Kevin Sanjaya Sukamuljo",1,"Marcus Fernaldi Gideon, Kevin Sanjaya Sukamuljo",5,20,22,22,20,21,18,63,60,2,1,5,1,6,4,6,2,1
39,Yonex_All_England_Open,2018-03-17,England,WS,6,0,80,Japan,India,Akane Yamaguchi,2,Akane Yamaguchi,4,19,21,21,19,21,18,61,58,2,1,3,2,7,6,11,15,1
40,Blibli_Indonesia_Open,2018-07-03,Indonesia,MD,6,0,58,Indonesia,China,"Berry Angriawan, Hardianto Hardianto",0,"Berry Angriawan, Hardianto Hardianto",0,20,22,21,18,21,18,62,58,2,1,3,2,5,5,2,1,1
41,Yonex_All_England_Open,2018-03-16,England,WS,6,0,84,India,Japan,Pusarla V. Sindhu,4,Pusarla V. Sindhu,7,20,22,21,18,21,18,62,58,2,1,3,1,5,5,10,10,1
42,Blibli_Indonesia_Open,2018-07-07,Indonesia,XD,4,0,36,Malaysia,China,"Chan Peng Soon, Goh Liu Ying",0,"Chan Peng Soon, Goh Liu Ying",4,21,18,21,16,0,0,42,34,2,0,2,0,4,4,1,3,1
43,Blibli_Indonesia_Open,2018-07-05,Indonesia,MS,4,0,49,Japan,Indonesia,Kento Momota,0,Kento Momota,0,21,14,21,15,0,0,42,29,2,0,4,0,7,8,11,5,1
44,Yonex_All_England_Open,2018-03-15,England,MD,4,0,47,China,Denmark,"Li Jun Hui, Liu Yu Chen",3,"Li Jun Hui, Liu Yu Chen",0,21,17,21,17,0,0,42,34,2,0,7,0,10,5,9,1,1
45,Blibli_Indonesia_Open,2018-07-08,Indonesia,WD,6,0,56,Japan,Japan,"Yuki Fukushima, Sayaka Hirota",2,"Yuki Fukushima, Sayaka Hirota",0,21,14,16,21,21,14,58,49,2,1,2,4,3,8,7,8,1
46,Blibli_Indonesia_Open,2018-07-04,Indonesia,WS,4,0,34,Chinesetaipei,Japan,Tai Tzu Ying,1,Tai Tzu Ying,0,21,11,23,21,0,0,44,32,2,0,3,1,5,4,4,0,1
47,Yonex_All_England_Open,2018-03-14,England,WS,4,0,38,Chinesetaipei,India,Tai Tzu Ying,1,Tai Tzu Ying,0,21,14,21,18,0,0,42,32,2,0,2,0,7,4,16,5,1
48,Yonex_All_England_Open,2018-03-17,England,MS,6,0,61,China,China,Lin Dan,6,Lin Dan,0,21,14,13,21,21,11,55,46,2,1,3,1,4,4,2,0,1
49,Blibli_Indonesia_Open,2018-07-06,Indonesia,WS,4,0,36,Korea,Thailand,Sung Jihyun,7,Sung Jihyun,4,21,12,21,12,0,0,42,24,2,0,5,0,8,3,10,13,1
50,Yonex_All_England_Open,2018-03-16,England,WS,4,0,52,Japan,Spain,Akane Yamaguchi,2,Akane Yamaguchi,5,21,15,21,18,0,0,42,33,2,0,2,0,5,4,8,10,1
51,Blibli_Indonesia_Open,2018-07-05,Indonesia,MD,4,0,32,Indonesia,Denmark,"Berry Angriawan, Hardianto Hardianto",0,"Berry Angriawan, Hardianto Hardianto",8,21,14,21,12,0,0,42,26,2,0,4,0,5,3,1,1,1
52,Blibli_Indonesia_Open,2018-07-08,Indonesia,MS,4,0,38,Japan,Denmark,Kento Momota,0,Kento Momota,1,21,14,21,9,0,0,42,23,2,0,2,0,6,3,14,5,1
53,Blibli_Indonesia_Open,2018-07-07,Indonesia,WD,4,0,39,Japan,China,"Mayu Matsumoto, Wakana Nagahara",0,"Mayu Matsumoto, Wakana Nagahara",1,21,13,21,18,0,0,42,31,2,0,3,0,7,5,2,12,1
54,Blibli_Indonesia_Open,2018-07-03,Indonesia,WS,4,0,25,Indonesia,Chinesetaipei,Gregoria Mariska Tunjung,0,Gregoria Mariska Tunjung,0,21,13,21,7,0,0,42,20,2,0,2,0,5,3,3,0,1
55,Yonex_All_England_Open,2018-03-15,England,MS,6,0,64,Malaysia,Korea,Lee Chong Wei,2,Lee Chong Wei,0,21,6,13,21,21,18,55,45,2,1,2,1,7,7,4,0,1
56,Blibli_Indonesia_Open,2018-07-04,Indonesia,MS,4,0,38,Indonesia,Netherlands,Anthony Sinisuka Ginting,0,Anthony Sinisuka Ginting,0,21,9,21,17,0,0,42,26,2,0,3,0,8,2,1,0,1
57,Yonex_All_England_Open,2018-03-17,England,WD,6,0,71,Japan,Japan,"Yuki Fukushima, Sayaka Hirota",4,"Yuki Fukushima, Sayaka Hirota",5,16,21,21,10,21,12,58,43,2,1,3,1,5,6,6,2,1
58,Blibli_Indonesia_Open,2018-07-06,Indonesia,MS,4,0,43,Malaysia,Thailand,Lee Chong Wei,7,Lee Chong Wei,0,21,13,22,20,0,0,43,33,2,0,3,0,7,4,1,0,1
59,Yonex_All_England_Open,2018-03-16,England,XD,6,0,55,Japan,England,"Yuta Watanabe, Arisa Higashino",0,"Yuta Watanabe, Arisa Higashino",7,18,21,21,15,21,15,60,51,2,1,2,1,6,5,4,1,1
60,Yonex_All_England_Open,2018-03-14,England,WD,4,0,37,Japan,India,"Misaki Matsutomo, Ayaka Takahashi",2,"Misaki Matsutomo, Ayaka Takahashi",0,21,14,21,13,0,0,42,27,2,0,2,0,5,4,8,0,1
61,Blibli_Indonesia_Open,2018-07-08,Indonesia,XD,4,0,38,Indonesia,Malaysia,"Tontowi Ahmad, Liliyana Natsir",1,"Tontowi Ahmad, Liliyana Natsir",0,21,17,21,8,0,0,42,25,2,0,4,0,5,3,11,1,1
62,Blibli_Indonesia_Open,2018-07-07,Indonesia,MS,6,0,52,Denmark,China,Viktor Axelsen,1,Viktor Axelsen,3,18,21,21,14,21,11,60,46,2,1,3,1,5,4,10,3,1
63,Yonex_All_England_Open,2018-03-15,England,XD,4,0,44,England,Korea,"Chris Adcock, Gabrielle Adcock",7,"Chris Adcock, Gabrielle Adcock",0,23,21,23,21,0,0,46,42,2,0,4,3,5,4,1,0,1
64,Blibli_Indonesia_Open,2018-07-03,Indonesia,MS,6,0,86,France,China,Brice Leverdez,0,Brice Leverdez,5,17,21,22,20,21,19,60,60,2,1,2,2,10,8,1,6,1
65,Blibli_Indonesia_Open,2018-07-08,Indonesia,MD,4,0,31,Indonesia,Japan,"Marcus Fernaldi Gideon, Kevin Sanjaya Sukamuljo",1,"Marcus Fernaldi Gideon, Kevin Sanjaya Sukamuljo",7,21,13,21,16,0,0,42,29,2,0,4,0,5,5,8,0,1
66,Yonex_All_England_Open,2018-03-17,England,XD,6,0,69,China,Denmark,"Zheng Si Wei, Huang Ya Qiong",5,"Zheng Si Wei, Huang Ya Qiong",6,18,21,21,14,21,19,60,54,2,1,3,1,4,5,3,0,1
67,Blibli_Indonesia_Open,2018-07-06,Indonesia,WS,4,0,37,China,India,He Bing Jiao,8,He Bing Jiao,3,21,14,21,15,0,0,42,29,2,0,7,0,6,4,12,10,1
68,Blibli_Indonesia_Open,2018-07-04,Indonesia,XD,6,0,72,Denmark,Indonesia,"Joachim Fischer Nielsen, Alexandra Bøje",0,"Joachim Fischer Nielsen, Alexandra Bøje",0,17,21,21,16,24,22,62,59,2,1,5,3,6,6,1,0,1
69,Blibli_Indonesia_Open,2018-07-05,Indonesia,WS,6,0,61,Thailand,Indonesia,Ratchanok Intanon,4,Ratchanok Intanon,0,21,11,17,21,21,14,59,46,2,1,3,1,5,4,9,2,1
70,Yonex_All_England_Open,2018-03-16,England,MS,4,0,52,China,Malaysia,Lin Dan,6,Lin Dan,2,21,16,21,17,0,0,42,33,2,0,2,0,6,4,13,6,1
71,Blibli_Indonesia_Open,2018-07-07,Indonesia,WD,6,0,69,Japan,Japan,"Yuki Fukushima, Sayaka Hirota",2,"Yuki Fukushima, Sayaka Hirota",5,25,23,12,21,21,13,58,57,2,1,3,4,5,10,7,4,1
72,Yonex_All_England_Open,2018-03-15,England,WS,4,0,38,Chinesetaipei,Thailand,Tai Tzu Ying,1,Tai Tzu Ying,0,21,15,21,11,0,0,42,26,2,0,2,0,9,4,17,4,1
73,Yonex_All_England_Open,2018-03-17,England,MD,4,0,51,Denmark,Japan,"Mathias Boe, Carsten Mogensen",2,"Mathias Boe, Carsten Mogensen",0,21,17,21,17,0,0,42,34,2,0,4,0,5,3,1,0,1
74,Blibli_Indonesia_Open,2018-07-07,Indonesia,MS,4,0,52,Japan,Malaysia,Kento Momota,0,Kento Momota,7,23,21,21,12,0,0,44,33,2,0,7,1,8,4,2,2,1
75,Yonex_All_England_Open,2018-03-14,England,MS,6,0,58,India,France,Kidambi Srikanth,3,Kidambi Srikanth,0,7,21,21,14,22,20,50,55,2,1,2,2,4,6,5,1,1
76,Blibli_Indonesia_Open,2018-07-06,Indonesia,MS,4,0,34,Denmark,Japan,Viktor Axelsen,1,Viktor Axelsen,0,21,11,21,10,0,0,42,21,2,0,2,0,6,2,6,1,1
77,Blibli_Indonesia_Open,2018-07-03,Indonesia,MS,6,0,60,India,China,Prannoy H. S.,8,Prannoy H. S.,0,21,15,9,21,21,14,51,50,2,1,3,2,5,8,3,2,1
78,Yonex_All_England_Open,2018-03-16,England,MD,4,0,43,Denmark,Malaysia,"Mathias Boe, Carsten Mogensen",2,"Mathias Boe, Carsten Mogensen",0,22,20,21,11,0,0,43,31,2,0,3,0,6,4,3,3,1
79,Blibli_Indonesia_Open,2018-07-04,Indonesia,MD,6,0,60,Indonesia,Japan,"Fajar Alfian, Muhammad Rian Ardianto",0,"Fajar Alfian, Muhammad Rian Ardianto",6,21,18,14,21,21,18,56,57,2,1,6,1,4,4,5,6,1
80,Blibli_Indonesia_Open,2018-07-05,Indonesia,MD,4,0,27,Indonesia,Malaysia,"Marcus Fernaldi Gideon, Kevin Sanjaya Sukamuljo",1,"Marcus Fernaldi Gideon, Kevin Sanjaya Sukamuljo",0,21,18,21,12,0,0,42,30,2,0,4,0,5,4,7,0,1
81,Victor_China_Open,2018-09-18,China,XD,4,0,30,China,Chinesetaipei,"He Ji Ting, Du Yue",0,"He Ji Ting, Du Yue",0,21,16,21,11,0,0,42,27,2,0,2,0,7,4,2,0,1
82,Yonex_All_England_Open,2018-03-15,England,MS,4,0,45,Japan,Hongkong,Kenta Nishimoto,0,Kenta Nishimoto,0,21,12,21,15,0,0,42,27,2,0,4,0,8,3,7,3,1
83,Yonex_All_England_Open,2018-03-16,England,WD,4,0,45,Denmark,Korea,"Kamilla Rytter Juhl, Christinna Pedersen",3,"Kamilla Rytter Juhl, Christinna Pedersen",7,21,15,21,14,0,0,42,29,2,0,3,0,3,3,2,0,1
84,Blibli_Indonesia_Open,2018-07-06,Indonesia,WS,4,0,31,Chinesetaipei,Scotland,Tai Tzu Ying,1,Tai Tzu Ying,0,21,16,21,11,0,0,42,27,2,0,3,0,5,3,5,0,1
85,Victor_China_Open,2018-09-20,China,MD,4,0,24,Indonesia,Thailand,"Marcus Fernaldi Gideon, Kevin Sanjaya Sukamuljo",1,"Marcus Fernaldi Gideon, Kevin Sanjaya Sukamuljo",0,21,13,21,13,0,0,42,26,2,0,2,0,4,3,3,0,1
86,Blibli_Indonesia_Open,2018-07-04,Indonesia,MD,4,0,37,Denmark,Chinesetaipei,"Mads Conrad-Petersen, Mads Pieler Kolding",5,"Mads Conrad-Petersen, Mads Pieler Kolding",0,21,19,21,13,0,0,42,32,2,0,4,0,6,3,2,0,1
87,Victor_China_Open,2018-09-19,China,XD,6,0,63,India,England,"Satwiksairaj Rankireddy, Ashwini Ponnappa",0,"Satwiksairaj Rankireddy, Ashwini Ponnappa",0,21,13,20,22,21,17,62,52,2,1,3,5,4,5,1,2,1
88,Blibli_Indonesia_Open,2018-07-03,Indonesia,MS,4,0,35,Chinesetaipei,India,Wang Tzu Wei,0,Wang Tzu Wei,0,21,10,21,13,0,0,42,23,2,0,3,0,9,4,4,0,1
89,Blibli_Indonesia_Open,2018-07-05,Indonesia,WS,4,0,41,China,India,Chen Yu Fei,5,Chen Yu Fei,0,21,18,21,15,0,0,42,33,2,0,5,0,6,5,4,1,1
90,Yonex_All_England_Open,2018-03-14,England,MS,4,0,46,China,Denmark,Lin Dan,6,Lin Dan,0,21,19,21,16,0,0,42,35,2,0,4,0,7,4,5,1,1
91,Blibli_Indonesia_Open,2018-07-06,Indonesia,WD,6,0,77,Japan,China,"Misaki Matsutomo, Ayaka Takahashi",5,"Misaki Matsutomo, Ayaka Takahashi",0,13,21,21,12,21,19,55,52,2,1,2,2,5,4,2,0,1
92,Yonex_All_England_Open,2018-03-16,England,WS,4,0,44,China,Denmark,Chen Yu Fei,8,Chen Yu Fei,0,21,17,21,12,0,0,42,29,2,0,3,0,6,4,9,1,1
93,Victor_China_Open,2018-09-18,China,XD,4,0,22,Indonesia,Japan,"Tontowi Ahmad, Liliyana Natsir",3,"Tontowi Ahmad, Liliyana Natsir",0,21,7,21,16,0,0,42,23,2,0,4,0,11,4,1,0,1
94,Yonex_All_England_Open,2018-03-15,England,WD,6,0,86,Denmark,China,"Kamilla Rytter Juhl, Christinna Pedersen",3,"Kamilla Rytter Juhl, Christinna Pedersen",0,24,22,22,24,21,16,67,62,2,1,3,6,4,4,1,0,1
95,Victor_China_Open,2018-09-20,China,XD,6,0,63,Hongkong,Malaysia,"Tang Chun Man, Tse Ying Suet",4,"Tang Chun Man, Tse Ying Suet",0,19,21,21,16,24,22,64,59,2,1,4,4,5,6,7,3,1
96,Victor_China_Open,2018-09-19,China,WD,4,0,32,China,Japan,"Tang Jin Hua, Yu Xiao Han",0,"Tang Jin Hua, Yu Xiao Han",0,21,11,21,10,0,0,42,21,2,0,2,0,7,4,1,0,1
97,Blibli_Indonesia_Open,2018-07-03,Indonesia,WD,4,0,35,Malaysia,Indonesia,"Vivian Hoo, Yap Cheng Wen",0,"Vivian Hoo, Yap Cheng Wen",0,21,18,21,19,0,0,42,37,2,0,5,0,5,4,1,0,1
98,Blibli_Indonesia_Open,2018-07-04,Indonesia,MS,6,0,60,Japan,India,Kento Momota,0,Kento Momota,4,12,21,21,14,21,15,54,50,2,1,3,3,4,8,16,4,1
99,Blibli_Indonesia_Open,2018-07-05,Indonesia,WD,4,0,44,Japan,Malaysia,"Yuki Fukushima, Sayaka Hirota",2,"Yuki Fukushima, Sayaka Hirota",0,21,19,23,21,0,0,44,40,2,0,5,0,5,3,2,0,1
100,Blibli_Indonesia_Open,2018-07-06,Indonesia,MD,4,0,33,Japan,Russia,"Takuto Inoue, Yuki Kaneko",7,"Takuto Inoue, Yuki Kaneko",0,21,17,21,19,0,0,42,36,2,0,4,0,4,5,4,2,1
101,Yonex_All_England_Open,2018-03-16,England,MD,4,0,42,Japan,Chinesetaipei,"Hiroyuki Endo, Yuta Watanabe",0,"Hiroyuki Endo, Yuta Watanabe",0,21,14,21,19,0,0,42,33,2,0,3,0,4,3,2,3,1
102,Victor_China_Open,2018-09-18,China,MS,6,0,51,Korea,Hongkong,Son Wan Ho,4,Son Wan Ho,0,19,21,21,5,21,13,61,39,2,1,2,2,12,5,4,0,1
103,Yonex_All_England_Open,2018-03-15,England,MD,6,0,66,Malaysia,England,"Goh V Shem, Tan Wee Kiong",0,"Goh V Shem, Tan Wee Kiong",0,16,21,23,21,21,12,60,54,2,1,4,2,6,6,6,1,1
104,Blibli_Indonesia_Open,2018-07-06,Indonesia,WS,4,0,34,China,Japan,Chen Yu Fei,5,Chen Yu Fei,2,23,21,21,8,0,0,44,29,2,0,4,0,7,4,11,21,1
105,Victor_China_Open,2018-09-20,China,MD,4,0,27,China,Indonesia,"Huang Kai Xiang, Wang Yi Lyu",0,"Huang Kai Xiang, Wang Yi Lyu",0,21,11,21,12,0,0,42,23,2,0,4,0,6,3,1,1,1
106,Yonex_All_England_Open,2018-03-16,England,XD,6,0,65,China,Indonesia,"Zhang Nan, Li Yin Hui",8,"Zhang Nan, Li Yin Hui",0,21,14,18,21,21,18,60,53,2,1,4,4,5,6,1,1,1
107,Blibli_Indonesia_Open,2018-07-03,Indonesia,MS,4,0,39,Japan,Thailand,Kazumasa Sakai,0,Kazumasa Sakai,0,21,17,21,13,0,0,42,30,2,0,2,0,4,4,1,1,1
108,Yonex_All_England_Open,2018-03-14,England,MD,4,0,34,Denmark,Korea,"Mathias Boe, Carsten Mogensen",2,"Mathias Boe, Carsten Mogensen",0,21,17,21,9,0,0,42,26,2,0,3,0,8,3,1,0,1
109,Blibli_Indonesia_Open,2018-07-05,Indonesia,MD,6,0,69,Chinesetaipei,Japan,"Liao Min Chun, Su Ching Heng",0,"Liao Min Chun, Su Ching Heng",0,21,19,12,21,22,20,55,60,2,1,4,1,4,8,3,2,1
110,Victor_China_Open,2018-09-19,China,MS,4,0,42,China,Indonesia,Shi Yu Qi,2,Shi Yu Qi,0,23,21,21,13,0,0,44,34,2,0,2,3,5,3,3,1,1
111,Blibli_Indonesia_Open,2018-07-04,Indonesia,WS,6,0,64,India,Thailand,Pusarla V. Sindhu,3,Pusarla V. Sindhu,0,21,15,19,21,21,13,61,49,2,1,3,1,7,6,6,4,1
112,Blibli_Indonesia_Open,2018-07-06,Indonesia,WD,4,0,36,Japan,Chinesetaipei,"Mayu Matsumoto, Wakana Nagahara",0,"Mayu Matsumoto, Wakana Nagahara",0,21,17,21,19,0,0,42,36,2,0,6,0,6,4,3,0,1
113,Yonex_All_England_Open,2018-03-16,England,MS,4,0,39,China,China,Shi Yu Qi,7,Shi Yu Qi,4,21,10,21,17,0,0,42,27,2,0,2,0,5,4,2,5,1
